long,interface_used,service_name,status,title,agency_sent_datetime,service_request_id,updated_datetime,media_url,detail,description,lat,service_code,requested_datetime,agency_responsible.recipient,requestor_name,comment_count
-0.024159,iOS,Fly-Tipping,open,Flytipped mattress and household rubbish,2021-09-01T09:23:48+01:00,2971205,2021-09-01T09:23:48+01:00,https://www.fixmystreet.com/photo/2971205.0.full.jpeg?d43447a1,"Main road end of Doggett rd, household waste and rubbish has been flytipped","Flytipped mattress and household rubbish: Main road end of Doggett rd, household waste and rubbish has been flytipped",51.444944,Fly-Tipping,2021-09-01T09:23:47+01:00,['Lewisham Borough Council'],Aurelia Long,
0.000297,mobile,Fly-Tipping,open,Sofa dumped,2021-09-01T09:14:34+01:00,2971179,2021-09-01T09:14:34+01:00,,Rubbishing,Sofa dumped: Rubbishing,51.442405,Fly-Tipping,2021-09-01T09:14:29+01:00,['Lewisham Borough Council'],,
0.00533,Android,Fly-Tipping,open,Dumped rubbish,2021-09-01T08:41:00+01:00,2970926,2021-09-01T08:41:00+01:00,https://www.fixmystreet.com/photo/2970926.0.full.jpeg?df718c2c,Litter,Dumped rubbish: Litter,51.431183,Fly-Tipping,2021-09-01T08:40:56+01:00,['Lewisham Borough Council'],,
-0.041676,iOS,Abandoned vehicles,open,Vehicle dumped in April,2021-09-01T08:37:00+01:00,2971073,2021-09-01T08:37:00+01:00,https://www.fixmystreet.com/photo/2971073.0.full.jpeg?6f77fb69,This car was dumped here in April and has clearly been abandoned. It is untaxed. Grateful if it can be removed. Many thanks.,Vehicle dumped in April: This car was dumped here in April and has clearly been abandoned. It is untaxed. Grateful if it can be removed. Many thanks.,51.487339,Abandoned vehicles,2021-09-01T08:36:59+01:00,['Lewisham Borough Council'],,
0.003149,mobile,Fly-Tipping,open,Same mattress dumped again.,2021-09-01T08:26:02+01:00,2971044,2021-09-01T08:26:02+01:00,https://www.fixmystreet.com/photo/2971044.0.full.jpeg?258bf7fe,I previously reported this mattress being dumped with the divan base along with a shattered mirror buy 80 Churchdown. The glass was removed and the bed and mattress were put back in their front garden. They have since moved the mattress back into the street when it looks to be covered in excrement.,Same mattress dumped again.: I previously reported this mattress being dumped with the divan base along with a shattered mirror buy 80 Churchdown. The glass was removed and the bed and mattress were put back in their front garden. They have since moved the mattress back into the street when it looks to be covered in excrement.,51.427996,Fly-Tipping,2021-09-01T08:25:59+01:00,['Lewisham Borough Council'],,
-0.045733,desktop,Fly-Tipping,open,Fly-tipping on pavement 22 Pepys Rd,2021-09-01T08:17:34+01:00,2971031,2021-09-01T08:17:34+01:00,,Various household rubbish including carpets & boxes dumped on pavement outside No.22 Pepys Rd. Looks a mess.,Fly-tipping on pavement 22 Pepys Rd: Various household rubbish including carpets & boxes dumped on pavement outside No.22 Pepys Rd. Looks a mess.,51.472976,Fly-Tipping,2021-09-01T08:17:33+01:00,['Lewisham Borough Council'],,
0.008786,iOS,Fly-Tipping,open,Sofa dumped,2021-09-01T07:53:14+01:00,2970985,2021-09-01T07:53:14+01:00,,Sofa has been fly tipped on street,Sofa dumped: Sofa has been fly tipped on street,51.452592,Fly-Tipping,2021-09-01T07:53:13+01:00,['Lewisham Borough Council'],,
-0.022252,iOS,Fly-Tipping,open,Fly tipped mattresses,2021-09-01T07:50:11+01:00,2970980,2021-09-01T07:50:11+01:00,https://www.fixmystreet.com/photo/2970980.0.full.jpeg?7cfdf3a0,Fly tipped mattresses,Fly tipped mattresses: Fly tipped mattresses,51.456401,Fly-Tipping,2021-09-01T07:50:08+01:00,['Lewisham Borough Council'],,
0.008752,iOS,Fly-Tipping,open,Dumped rubbish,2021-09-01T07:44:32+01:00,2970971,2021-09-01T07:44:32+01:00,https://www.fixmystreet.com/photo/2970971.0.full.jpeg?48f5ce1d,See above,Dumped rubbish: See above,51.452792,Fly-Tipping,2021-09-01T07:44:30+01:00,['Lewisham Borough Council'],Paul Browning,
-0.033194,mobile,Fly-Tipping,open,Abandoned items causing obstruction,2021-09-01T07:26:51+01:00,2970945,2021-09-01T07:26:51+01:00,,Mattrice and fridge freezer dumped outside of 135,Abandoned items causing obstruction: Mattrice and fridge freezer dumped outside of 135,51.448883,Fly-Tipping,2021-09-01T07:26:48+01:00,['Lewisham Borough Council'],,
-0.007209,iOS,Fly-Tipping,open,Fly tipping,2021-09-01T07:14:27+01:00,2970929,2021-09-01T07:14:27+01:00,https://www.fixmystreet.com/photo/2970929.0.full.jpeg?1916c009,Mattress and shelves dumped,Fly tipping: Mattress and shelves dumped,51.451999,Fly-Tipping,2021-09-01T07:14:24+01:00,['Lewisham Borough Council'],,
-0.047971,desktop,Fly-Tipping,open,Furniture/household waste,2021-09-01T06:46:31+01:00,2970908,2021-09-01T06:46:31+01:00,https://www.fixmystreet.com/photo/2970908.0.full.jpeg?65b1fe49,Dumped at the junction of Arbuthnot and Waller Road,Furniture/household waste: Dumped at the junction of Arbuthnot and Waller Road,51.470138,Fly-Tipping,2021-09-01T06:46:30+01:00,['Lewisham Borough Council'],,
-0.047091,desktop,Street Cleaning,open,Fridge dumped,2021-09-01T06:44:46+01:00,2970907,2021-09-01T06:44:46+01:00,https://www.fixmystreet.com/photo/2970907.0.full.jpeg?e8176834,Top of Waller Road,Fridge dumped: Top of Waller Road,51.467819,Street Cleaning,2021-09-01T06:44:45+01:00,['Lewisham Borough Council'],,
-0.047091,desktop,Rubbish (refuse and recycling),open,Pile of Rubbish,2021-09-01T06:43:28+01:00,2970903,2021-09-01T06:43:28+01:00,https://www.fixmystreet.com/photo/2970903.0.full.jpeg?5052b714,Top of Waller Road,Pile of Rubbish: Top of Waller Road,51.467819,Rubbish (refuse and recycling),2021-09-01T06:43:27+01:00,['Lewisham Borough Council'],,
-0.041358,mobile,Fly-Tipping,open,Mattress on street.,2021-08-31T23:16:24+01:00,2970798,2021-08-31T23:16:24+01:00,https://www.fixmystreet.com/photo/2970798.0.full.jpeg?b5772830,It is blocking the pavement.,Mattress on street.: It is blocking the pavement.,51.432707,Fly-Tipping,2021-08-31T23:16:23+01:00,['Lewisham Borough Council'],,
-0.04488,iOS,Fly-Tipping,open,Sofa,2021-08-31T22:50:56+01:00,2970284,2021-08-31T22:50:56+01:00,https://www.fixmystreet.com/photo/2970284.0.full.jpeg?6e100e8e,Clothes and sofa,Sofa: Clothes and sofa,51.478638,Fly-Tipping,2021-08-31T22:50:53+01:00,['Lewisham Borough Council'],Selvin Reid,
0.008186,iOS,Fly-Tipping,open,Old bed dumped,2021-08-31T21:36:09+01:00,2970669,2021-08-31T21:36:09+01:00,,Aload of rubbish has only just been cleared for Here & already someone has dumped an old bed. Lewisham council sort this out!!!!!!,Old bed dumped: Aload of rubbish has only just been cleared for Here & already someone has dumped an old bed. Lewisham council sort this out!!!!!!,51.430184,Fly-Tipping,2021-08-31T21:36:09+01:00,['Lewisham Borough Council'],,
-0.051385,iOS,Fly-Tipping,open,Fly tipped mattress,2021-08-31T20:44:55+01:00,2970595,2021-08-31T20:44:55+01:00,https://www.fixmystreet.com/photo/2970595.0.full.jpeg?987420a0,"Fly tipped mattress. been here 5 weeks now and makes Tannsfeld Road look like a terribly slobby dump of a street.

Can lewisham please remove.

Thank you","Fly tipped mattress: Fly tipped mattress. been here 5 weeks now and makes Tannsfeld Road look like a terribly slobby dump of a street.

Can lewisham please remove.

Thank you",51.422656,Fly-Tipping,2021-08-31T20:44:54+01:00,['Lewisham Borough Council'],,
-0.051224,iOS,Street Cleaning,open,Tannesfeld Road needs a clean,2021-08-31T20:38:38+01:00,2970587,2021-08-31T20:38:38+01:00,https://www.fixmystreet.com/photo/2970587.0.full.jpeg?3bcce8ce,Very dirty and littered today,Tannesfeld Road needs a clean: Very dirty and littered today,51.422596,Street Cleaning,2021-08-31T20:38:37+01:00,['Lewisham Borough Council'],,
-0.046118,iOS,Fly-Tipping,open,Fly tipping,2021-08-31T20:23:12+01:00,2970561,2021-08-31T20:23:12+01:00,https://www.fixmystreet.com/photo/2970561.0.full.jpeg?aa6d9c92,Pls remove,Fly tipping: Pls remove,51.433674,Fly-Tipping,2021-08-31T20:23:07+01:00,['Lewisham Borough Council'],,
-0.046064,iOS,Fly-Tipping,open,Fly tipping,2021-08-31T20:22:59+01:00,2970565,2021-08-31T20:22:59+01:00,https://www.fixmystreet.com/photo/2970565.0.full.jpeg?3c06e562,Pls remove,Fly tipping: Pls remove,51.433386,Fly-Tipping,2021-08-31T20:22:56+01:00,['Lewisham Borough Council'],,
0.001143,iOS,Fly-Tipping,open,Double mattress flytipped,2021-08-31T19:44:59+01:00,2970505,2021-08-31T19:44:59+01:00,https://www.fixmystreet.com/photo/2970505.0.full.jpeg?3362eabf,Corner of Wellmeadow (SE13) and Torridon Road,Double mattress flytipped: Corner of Wellmeadow (SE13) and Torridon Road,51.447686,Fly-Tipping,2021-08-31T19:44:58+01:00,['Lewisham Borough Council'],,
0.002707,Android,Garden Waste,open,Bins not collected... Again,2021-08-31T19:44:33+01:00,2970504,2021-08-31T19:44:33+01:00,,Green bin collection didn't happen again... What is happening? Why do they keep missing our road??,Bins not collected... Again: Green bin collection didn't happen again... What is happening? Why do they keep missing our road??,51.444701,Garden Waste,2021-08-31T19:44:30+01:00,['Lewisham Borough Council'],,
-0.016107,desktop,Street Cleaning,open,Weeds,2021-08-31T19:30:05+01:00,2970479,2021-08-31T19:30:05+01:00,,"Weeds are in the gutters and round the trees, looks a mess also this seems to be a problem for the whole area, weeds on some roads over a foot tall, they need to e dealt with","Weeds: Weeds are in the gutters and round the trees, looks a mess also this seems to be a problem for the whole area, weeds on some roads over a foot tall, they need to e dealt with",51.42964,Street Cleaning,2021-08-31T19:30:03+01:00,['Lewisham Borough Council'],,
-0.039403,mobile,Fly-Tipping,open,Fly tipping on Drakefell road,2021-08-31T18:30:16+01:00,2970349,2021-08-31T18:30:16+01:00,https://www.fixmystreet.com/photo/2970349.0.full.jpeg?53f13dcd,Rubbish has been building up between two properties on Drakefell road opposite Sprules Road. It’s been there and getting worse for several weeks now. The tenants in neighbouring properties have complained and state it is not theirs.,Fly tipping on Drakefell road: Rubbish has been building up between two properties on Drakefell road opposite Sprules Road. It’s been there and getting worse for several weeks now. The tenants in neighbouring properties have complained and state it is not theirs.,51.465935,Fly-Tipping,2021-08-31T18:30:13+01:00,['Lewisham Borough Council'],,
0.002874,Android,Fly-Tipping,open,Fly Tipping in Catford Downham Really Bad,2021-08-31T18:25:43+01:00,2970338,2021-08-31T18:25:43+01:00,,"Fire Risk, Beds, Wood, Household waste up against Fence on property, ugly sight the whole are is loosing the battle to control Fly Tipping","Fly Tipping in Catford Downham Really Bad: Fire Risk, Beds, Wood, Household waste up against Fence on property, ugly sight the whole are is loosing the battle to control Fly Tipping",51.435781,Fly-Tipping,2021-08-31T18:25:41+01:00,['Lewisham Borough Council'],,
-0.043463,iOS,Roads/Highways,open,Uncovered manhole in pavement.,2021-08-31T18:19:45+01:00,2970326,2021-08-31T18:19:45+01:00,https://www.fixmystreet.com/photo/2970326.0.full.jpeg?d9fdad5e,Small open manhole uncovered - trip hazard.,Uncovered manhole in pavement.: Small open manhole uncovered - trip hazard.,51.425879,Roads/Highways,2021-08-31T18:19:39+01:00,['Lewisham Borough Council'],,
-0.040993,Android,Fly-Tipping,open,Flytipping,2021-08-31T17:49:07+01:00,2970239,2021-08-31T17:49:07+01:00,https://www.fixmystreet.com/photo/2970239.0.full.jpeg?d76b1cde,Rubbish left at end of close,Flytipping: Rubbish left at end of close,51.461087,Fly-Tipping,2021-08-31T17:49:00+01:00,['Lewisham Borough Council'],,
-0.012349,Android,Fly-Tipping,open,Items dumped outside the block again,2021-08-31T17:01:18+01:00,2970108,2021-08-31T17:01:18+01:00,https://www.fixmystreet.com/photo/2970108.0.full.jpeg?be7536f8,Usual weekly fly tipping. Please collect,Items dumped outside the block again: Usual weekly fly tipping. Please collect,51.456551,Fly-Tipping,2021-08-31T17:01:16+01:00,['Lewisham Borough Council'],,
-0.003424,iOS,Fly-Tipping,open,Carpet on bridge by eastdown court,2021-08-31T16:58:23+01:00,2970100,2021-08-31T16:58:23+01:00,https://www.fixmystreet.com/photo/2970100.0.full.jpeg?ac0b7d00,Carpet on bridge by eastdown court,Carpet on bridge by eastdown court: Carpet on bridge by eastdown court,51.458896,Fly-Tipping,2021-08-31T16:58:22+01:00,['Lewisham Borough Council'],,
-0.003424,iOS,Fly-Tipping,open,Pallets and carpet eastdown court,2021-08-31T16:57:38+01:00,2970099,2021-08-31T16:57:38+01:00,https://www.fixmystreet.com/photo/2970099.0.full.jpeg?f53ddfcb,Pallets and carpet outside eastdown court on pavement,Pallets and carpet eastdown court: Pallets and carpet outside eastdown court on pavement,51.458896,Fly-Tipping,2021-08-31T16:57:36+01:00,['Lewisham Borough Council'],,
-0.003553,iOS,Fly-Tipping,open,Mattress 47 leahurst road,2021-08-31T16:57:02+01:00,2970097,2021-08-31T16:57:02+01:00,https://www.fixmystreet.com/photo/2970097.0.full.jpeg?cbf7a5ec,Mattress outside 47 leahurst road,Mattress 47 leahurst road: Mattress outside 47 leahurst road,51.455272,Fly-Tipping,2021-08-31T16:57:01+01:00,['Lewisham Borough Council'],,
-0.028659,Android,Fly-Tipping,open,Discarded paint pots,2021-08-31T16:49:22+01:00,2970080,2021-08-31T16:49:22+01:00,,Large amount of discarded paint pots,Discarded paint pots: Large amount of discarded paint pots,51.458219,Fly-Tipping,2021-08-31T16:49:19+01:00,['Lewisham Borough Council'],,
-0.031877,iOS,Fly-Tipping,open,Sofa,2021-08-31T16:36:54+01:00,2970042,2021-08-31T16:36:54+01:00,,.,Sofa: .,51.476026,Fly-Tipping,2021-08-31T16:36:49+01:00,['Lewisham Borough Council'],,
-0.031544,iOS,Fly-Tipping,open,Bath,2021-08-31T16:36:43+01:00,2970040,2021-08-31T16:36:43+01:00,https://www.fixmystreet.com/photo/2970040.0.full.jpeg?b7263f25,.,Bath: .,51.475899,Fly-Tipping,2021-08-31T16:36:42+01:00,['Lewisham Borough Council'],,
0.004997,iOS,Potholes,open,Hole in pavement,2021-08-31T16:35:59+01:00,2970035,2021-08-31T16:35:59+01:00,https://www.fixmystreet.com/photo/2970035.0.full.jpeg?403f0b01,There is a pothole in the pavement on the corner of Quentin Road between numbers 50 and 52 where a tree was removed four years. This is dangerous and the broken tarmac is now full of weeds and rubbish,Hole in pavement: There is a pothole in the pavement on the corner of Quentin Road between numbers 50 and 52 where a tree was removed four years. This is dangerous and the broken tarmac is now full of weeds and rubbish,51.461722,Potholes,2021-08-31T16:35:51+01:00,['Lewisham Borough Council'],,
-0.059195,mobile,Missed Collection,open,Missed bins collection,2021-08-31T16:26:53+01:00,2970002,2021-08-31T16:26:53+01:00,,"All bins for Edwin Court and surrounding Kirkdale area have not been collected - includes recycling, refuse and food waste.","Missed bins collection: All bins for Edwin Court and surrounding Kirkdale area have not been collected - includes recycling, refuse and food waste.",51.4305,Missed Collection,2021-08-31T16:26:52+01:00,['Lewisham Borough Council'],,
-0.037924,iOS,Fly-Tipping,open,Fly tip,2021-08-31T15:15:51+01:00,2969762,2021-08-31T15:15:51+01:00,https://www.fixmystreet.com/photo/2969762.0.full.jpeg?7b05a2e7,Loads of rubbish,Fly tip: Loads of rubbish,51.482363,Fly-Tipping,2021-08-31T15:15:50+01:00,['Lewisham Borough Council'],,
-0.003201,mobile,Fly-Tipping,open,Flytipping of fene and bath etc and tree cuttings,2021-08-31T14:44:36+01:00,2969647,2021-08-31T14:44:36+01:00,https://www.fixmystreet.com/photo/2969647.0.full.jpeg?748b4c2d,There is fences and garden waste by the side of Cork House and entrance to flats. It had been there for about a week,Flytipping of fene and bath etc and tree cuttings: There is fences and garden waste by the side of Cork House and entrance to flats. It had been there for about a week,51.422071,Fly-Tipping,2021-08-31T14:44:35+01:00,['Lewisham Borough Council'],,
-0.025,Android,Fly-Tipping,open,Rubbish,2021-08-31T12:46:08+01:00,2969171,2021-08-31T12:46:08+01:00,https://www.fixmystreet.com/photo/2969171.0.full.jpeg?70e71ca2,Outside 44-46 Vanguard Street.,Rubbish: Outside 44-46 Vanguard Street.,51.473134,Fly-Tipping,2021-08-31T12:46:08+01:00,['Lewisham Borough Council'],,
-0.051287,desktop,Rubbish (refuse and recycling),open,Large Communal Bin overturned on to Rojack Road,2021-08-31T12:32:17+01:00,2969124,2021-08-31T12:32:17+01:00,https://www.fixmystreet.com/photo/2969124.0.full.jpeg?f8dd5849,Large Communal bin from flats in 30 Stanstead Road has rolled down slope and overturned from bin area in Rojack Road which is obstructing road and contents have spewed out on to road. Protective gate needs installing to prevent recurrence which could be dangerous to pedestrians and damage stationary cars,Large Communal Bin overturned on to Rojack Road: Large Communal bin from flats in 30 Stanstead Road has rolled down slope and overturned from bin area in Rojack Road which is obstructing road and contents have spewed out on to road. Protective gate needs installing to prevent recurrence which could be dangerous to pedestrians and damage stationary cars,51.442194,Rubbish (refuse and recycling),2021-08-31T12:32:16+01:00,['Lewisham Borough Council'],,
-0.05317,Android,Fly-Tipping,open,Complete mess across pavement,2021-08-31T11:50:59+01:00,2968939,2021-09-01T08:46:17+01:00,https://www.fixmystreet.com/photo/2968939.0.full.jpeg?a688e69c,Seen today on Silverdale. Very smelly.,Complete mess across pavement: Seen today on Silverdale. Very smelly.,51.428009,Fly-Tipping,2021-08-31T11:50:57+01:00,['Lewisham Borough Council'],,1.0
-0.001301,desktop,Street Cleaning,open,Street cleaning,2021-08-31T11:06:05+01:00,2968799,2021-08-31T11:06:05+01:00,,Eliot Vale has not been swept for 6 weeks. I and other neigbours collect litter every day but there are leaves and other miscellaneous items that require collecting.,Street cleaning: Eliot Vale has not been swept for 6 weeks. I and other neigbours collect litter every day but there are leaves and other miscellaneous items that require collecting.,51.467911,Street Cleaning,2021-08-31T11:06:03+01:00,['Lewisham Borough Council'],,
-0.065388,desktop,Fly-Tipping,open,Mattress and other rubbish,2021-08-31T10:42:32+01:00,2968702,2021-08-31T10:42:32+01:00,https://www.fixmystreet.com/photo/2968702.0.full.jpeg?ecdf23cb,Mattress and other rubbish left on the street,Mattress and other rubbish: Mattress and other rubbish left on the street,51.431781,Fly-Tipping,2021-08-31T10:42:32+01:00,['Lewisham Borough Council'],,
-0.065045,desktop,Fly-Tipping,open,Fridge & chair,2021-08-31T10:41:31+01:00,2968698,2021-08-31T10:41:31+01:00,https://www.fixmystreet.com/photo/2968698.0.full.jpeg?b1da9b0f,Fridge & chair left on the street,Fridge & chair: Fridge & chair left on the street,51.431477,Fly-Tipping,2021-08-31T10:41:31+01:00,['Lewisham Borough Council'],,
-0.041194,iOS,Fly-Tipping,open,Rubble dumped outside our house,2021-08-31T10:07:43+01:00,2968559,2021-08-31T10:07:43+01:00,https://www.fixmystreet.com/photo/2968559.0.full.jpeg?4a612a90,More inconsiderate dumping. Council very efficient at clearing up messes like this which I’m very grateful for but can’t more be done to catch these people.,Rubble dumped outside our house: More inconsiderate dumping. Council very efficient at clearing up messes like this which I’m very grateful for but can’t more be done to catch these people.,51.432474,Fly-Tipping,2021-08-31T10:07:35+01:00,['Lewisham Borough Council'],,
-0.003017,Android,Fly-Tipping,open,Furniture and abandoned bins,2021-08-31T08:55:43+01:00,2968332,2021-08-31T08:55:43+01:00,https://www.fixmystreet.com/photo/2968332.0.full.jpeg?a35769d1,Please remove.,Furniture and abandoned bins: Please remove.,51.447631,Fly-Tipping,2021-08-31T08:55:40+01:00,['Lewisham Borough Council'],,
-0.052945,iOS,Fly-Tipping,open,Rubbish and fly-tipping alleys in Newlands Park,2021-08-31T08:53:08+01:00,2968326,2021-08-31T08:53:08+01:00,https://www.fixmystreet.com/photo/2968326.0.full.jpeg?f93c9eb7,This is probably private land but this area and the driveway next to it are fast becoming fly-tipping areas. Please look into what can be done. Ugly and thoroughly depressing sights.,Rubbish and fly-tipping alleys in Newlands Park: This is probably private land but this area and the driveway next to it are fast becoming fly-tipping areas. Please look into what can be done. Ugly and thoroughly depressing sights.,51.426103,Fly-Tipping,2021-08-31T08:53:03+01:00,['Lewisham Borough Council'],,
-0.007831,Android,Parks & Green Spaces,open,Rough sleeping at Mountsfield Park,2021-08-31T08:22:55+01:00,2968246,2021-08-31T08:22:55+01:00,https://www.fixmystreet.com/photo/2968246.0.full.jpeg?85bc25c8,"Rough sleeping at Mountsfield Park. This person needs help with proper safe, sanitary accommodation.","Rough sleeping at Mountsfield Park: Rough sleeping at Mountsfield Park. This person needs help with proper safe, sanitary accommodation.",51.448831,Parks & Green Spaces,2021-08-31T08:22:54+01:00,['Lewisham Borough Council'],Lewisham Council,
-0.043222,desktop,Fly-Tipping,open,20 Black bags dumped on pavement restricting width of useable pavement.,2021-08-31T08:15:23+01:00,2968232,2021-08-31T08:15:23+01:00,,Approximately 20 heavy Black bags of clay?/DIY waste dumped on the pavement outside 51/53 Ommaney Road; restricting use by wheelchair & pushchair users.,20 Black bags dumped on pavement restricting width of useable pavement.: Approximately 20 heavy Black bags of clay?/DIY waste dumped on the pavement outside 51/53 Ommaney Road; restricting use by wheelchair & pushchair users.,51.471418,Fly-Tipping,2021-08-31T08:15:23+01:00,['Lewisham Borough Council'],,
-0.03227,iOS,Abandoned vehicles,open,Abandoned Mercedes,2021-08-31T08:09:02+01:00,2968223,2021-08-31T08:09:02+01:00,https://www.fixmystreet.com/photo/2968223.0.full.jpeg?e2b092d3,I’ve reported this one previously — a number of months ago. This car has been abandoned here for nearly a year.,Abandoned Mercedes: I’ve reported this one previously — a number of months ago. This car has been abandoned here for nearly a year.,51.471475,Abandoned vehicles,2021-08-31T08:09:02+01:00,['Lewisham Borough Council'],,
-0.035286,Android,Fly-Tipping,open,Rubbish bags,2021-08-31T07:26:44+01:00,2968166,2021-09-01T07:29:17+01:00,https://www.fixmystreet.com/photo/2968166.0.full.jpeg?15567061,Black sacks,Rubbish bags: Black sacks,51.454307,Fly-Tipping,2021-08-31T07:26:43+01:00,['Lewisham Borough Council'],Chris F,1.0
0.009726,iOS,Fly-Tipping,open,Rubbish,2021-08-31T06:45:48+01:00,2968136,2021-08-31T06:45:48+01:00,https://www.fixmystreet.com/photo/2968136.0.full.jpeg?388eebc4,Reigate Road,Rubbish: Reigate Road,51.433675,Fly-Tipping,2021-08-31T06:45:46+01:00,['Lewisham Borough Council'],,
-0.032552,iOS,Parks/Landscapes,open,Hedge,2021-08-30T20:08:05+01:00,2967821,2021-08-30T20:08:05+01:00,https://www.fixmystreet.com/photo/2967821.0.full.jpeg?da4b95ec,This hedge is moving further and further and into the pathway. I though they had to be limited to the boundary wall?,Hedge: This hedge is moving further and further and into the pathway. I though they had to be limited to the boundary wall?,51.463746,Parks/Landscapes,2021-08-30T20:08:05+01:00,['Lewisham Borough Council'],,
0.001692,desktop,Fly-Tipping,open,Sofa dumped,2021-08-30T19:36:31+01:00,2967768,2021-08-30T19:36:31+01:00,,A sofa and other items have been dumped on the corner of Fludyer Street,Sofa dumped: A sofa and other items have been dumped on the corner of Fludyer Street,51.459877,Fly-Tipping,2021-08-30T19:36:31+01:00,['Lewisham Borough Council'],,
0.005876,desktop,Street Cleaning,open,Litter all along Dacre Park,2021-08-30T19:35:39+01:00,2967765,2021-08-30T19:35:39+01:00,,Litter has blown all along the fence for several metres along the bottom east side of Dacre Park,Litter all along Dacre Park: Litter has blown all along the fence for several metres along the bottom east side of Dacre Park,51.459235,Street Cleaning,2021-08-30T19:35:39+01:00,['Lewisham Borough Council'],,
